,blueFirstBlood,blueKills,blueDeaths,blueGoldDiff,blueExperienceDiff,blueWardsPlacedDiff,blueWardsDestroyedDiff,blueAvgLevelDiff,blueAssistsDiff,blueTotalMinionsKilledDiff,blueTotalJungleMinionsKilledDiff,blueEliteMonstersDiff,blueDragonsDiff,blueHeraldsDiff,blueTowersDestroyedDiff,blueWins
9320,1,5,5,380,-245,1,-2,0.0,2,12,-16,-1,-1,0,0,1
5190,1,8,6,2879,2522,9,-2,0.5999999999999996,0,16,17,0,0,0,0,1
3086,1,6,8,-82,117,1,-1,0.0,7,-21,17,-1,-1,0,0,0
3373,0,9,13,-1097,-674,6,-3,-0.20000000000000018,-6,11,-17,-1,-1,0,0,0
4562,1,6,4,6,1023,5,5,0.20000000000000018,5,-46,5,0,1,1,0,0
1857,1,4,7,-1663,-1174,3,-1,-0.20000000000000018,-4,36,-3,1,1,0,0,1
7556,0,3,7,-944,-2050,0,0,-0.5999999999999996,-3,-20,0,1,1,0,0,1
2645,1,2,5,-1145,-2100,-1,1,-0.40000000000000036,1,-42,-6,-1,0,1,0,1
9049,1,4,10,-2317,-1800,1,1,-0.40000000000000036,-3,6,-5,0,1,1,0,0
7523,0,1,6,-2160,-88,-6,-1,0.0,-10,9,5,0,-1,0,0,0
7626,1,3,4,-299,-238,-12,-2,0.0,-1,14,-16,-1,-1,0,0,1
2609,0,10,9,-236,-1078,35,0,-0.20000000000000018,6,-24,-12,1,1,0,0,0
1892,1,3,9,-2185,-2444,3,0,-0.5999999999999996,-5,34,-12,0,0,0,0,0
6865,1,13,6,5525,3383,2,1,0.6000000000000005,11,35,12,1,1,0,0,1
6717,1,8,5,2114,1904,-4,0,0.7999999999999998,0,24,-6,0,-1,0,1,0
6152,1,10,2,3158,1518,2,1,0.5999999999999996,15,33,-23,1,1,0,0,1
2454,0,2,5,-1552,-1506,9,0,-0.20000000000000018,-8,-13,10,0,0,0,0,0
878,0,6,13,-4685,-3600,-4,1,-1.0,-14,-84,1,1,1,0,0,1
7078,1,7,3,2136,-50,-17,-1,-0.20000000000000018,5,-15,3,1,1,0,0,1
5591,0,2,2,204,-1452,1,1,-0.39999999999999947,3,-15,-13,-1,-1,0,0,1
8371,1,5,8,-1142,229,13,1,0.20000000000000018,0,-15,3,0,1,1,0,1
8449,0,10,4,4091,2830,-1,0,0.7999999999999998,6,59,-8,-1,-1,0,0,1
8285,0,0,9,-4513,-2787,-7,-2,-0.6000000000000005,-15,-29,7,1,1,0,0,0
9805,1,14,5,3682,1284,1,2,0.40000000000000036,20,2,-11,1,1,0,0,0
1164,1,5,5,781,-1744,-1,3,-0.40000000000000036,1,-2,-13,-1,0,1,1,1
3850,1,4,2,2478,1105,1,-6,0.0,1,54,12,-2,-1,1,0,1
4790,1,1,8,-5048,-4231,-2,-5,-1.1999999999999993,-8,-49,-8,-1,-1,0,0,0
2399,1,4,11,-2932,-2135,-23,0,-0.20000000000000018,-11,-4,4,1,1,0,0,0
9846,1,4,4,428,400,3,2,0.20000000000000018,-1,22,-9,1,1,0,0,0
2975,0,10,9,-286,-916,-3,-4,0.0,-2,-70,0,2,1,0,0,1
6136,0,4,6,-3045,-810,1,-1,-0.20000000000000018,-7,-60,2,0,0,0,0,0
5385,1,8,9,-194,431,-2,14,0.0,-1,-1,-9,0,0,0,0,0
4207,0,3,5,-1243,-425,28,-16,-0.20000000000000018,-4,13,13,1,1,0,0,0
3833,0,6,10,-1590,-1867,6,-1,-0.20000000000000018,0,-17,-11,-1,-1,0,0,0
1875,0,3,7,-1761,-1206,-1,-1,-0.20000000000000018,-6,-21,-5,0,-1,0,0,0
3491,1,11,3,5634,2094,27,1,0.6000000000000005,13,46,-46,0,-1,0,1,1
8104,1,8,6,1365,1563,-1,3,0.40000000000000036,4,2,-5,1,1,0,0,0
1684,0,5,6,-1042,-2030,-6,1,-0.40000000000000036,-5,2,-40,0,-1,0,0,0
6169,0,6,3,-136,-385,-4,1,-0.1999999999999993,0,-33,-4,0,0,0,0,0
4040,1,2,9,-3226,-2335,5,0,-0.6000000000000005,-9,-7,11,0,-1,0,0,0
777,0,5,8,-2695,-1042,9,-3,-0.20000000000000018,-11,-72,0,-1,-1,0,0,0
1450,1,7,7,1482,1055,-2,0,-0.20000000000000018,2,51,-3,-1,-1,0,0,1
2088,0,3,4,33,817,-9,-2,0.0,-1,39,-3,-1,-1,0,0,0
682,1,5,5,290,617,2,0,0.0,3,-4,2,1,1,0,0,1
4362,0,7,7,335,731,66,1,0.0,2,4,13,1,1,0,0,0
2576,1,8,4,1422,775,-1,-1,0.0,7,6,-7,1,1,0,0,1
7743,0,2,6,-2194,-1240,58,2,-0.20000000000000018,-4,-36,22,-1,-1,0,0,0
6420,1,7,4,1823,1574,2,2,0.8000000000000007,4,-9,8,1,1,0,0,1
93,1,7,7,3545,2162,-5,1,0.6000000000000005,-4,112,26,-1,-1,0,1,1
4960,0,9,6,1177,-691,-2,-2,0.0,6,-36,10,1,1,0,0,0
3957,1,4,2,-352,176,26,1,0.20000000000000018,4,-42,-3,1,1,0,0,0
8389,0,4,6,-2376,-894,15,-3,0.0,-4,-20,0,0,-1,0,0,1
8833,1,4,7,-717,-997,3,-5,0.0,-6,-6,-4,-1,-1,0,0,0
999,1,7,11,-1903,-1398,-3,2,-0.40000000000000036,-5,-19,6,-1,-1,0,0,0
8552,1,13,4,3967,593,0,-1,-0.20000000000000018,10,-5,-7,1,0,0,1,1
7647,1,8,11,-1725,-2264,38,2,-0.5999999999999996,-1,18,-28,0,-1,0,0,0
2249,1,2,4,-1316,-1111,-4,0,0.40000000000000036,1,-20,0,1,1,0,0,1
793,0,9,4,1513,1585,-6,1,0.0,3,-13,8,1,1,0,0,0
4830,1,8,10,-680,-703,-1,1,0.20000000000000018,-2,-14,13,1,1,0,0,1
7874,1,7,5,2588,1353,38,3,0.8000000000000007,1,47,4,0,0,0,0,1
5867,1,8,2,2298,1572,3,0,0.0,10,-25,-20,0,-1,0,0,1
360,1,1,4,-2638,-2478,-26,-1,-0.39999999999999947,-4,-2,-24,-2,-1,1,0,0
1288,1,16,5,2447,247,4,1,0.0,11,-4,-26,1,1,0,0,1
580,0,9,6,978,372,-6,-2,0.0,7,-18,-18,-1,0,1,0,0
847,1,8,4,3311,2682,1,3,0.8000000000000007,7,-11,32,1,1,0,0,1
3174,0,3,8,-966,-455,5,-2,0.0,-5,28,16,0,0,0,0,0
6578,0,4,6,-3424,-1550,-3,-2,-0.6000000000000005,-2,-32,-9,-1,-1,0,-1,0
8948,0,2,5,-3117,-3799,13,-2,-0.7999999999999998,1,-41,-28,-1,-1,0,0,0
5173,1,13,2,5622,3964,5,-1,1.0,12,37,-24,1,1,0,0,1
3590,0,13,6,2109,3154,25,4,0.8000000000000007,3,16,-5,0,0,0,0,1
9594,0,3,10,-2968,-3336,11,3,-0.8000000000000007,-8,-28,-18,-1,-1,0,0,0
5363,1,6,7,777,1580,1,2,0.40000000000000036,-7,31,19,1,1,0,0,1
6163,0,4,13,-6139,-4548,-47,-1,-1.0,-9,-59,3,0,0,0,0,0
7171,0,4,7,946,-439,-1,-1,-0.20000000000000018,-5,-9,9,0,-1,0,0,0
7973,0,1,7,-2671,-1258,0,4,0.0,-4,-2,-5,-1,-1,0,0,0
5578,0,7,7,-1571,-1130,-16,14,-0.40000000000000036,0,-68,0,1,1,0,0,0
6404,0,4,5,93,1943,-1,0,0.6000000000000005,-4,31,26,1,1,0,0,0
2238,1,7,5,715,-69,-2,1,-0.1999999999999993,0,6,-2,1,1,0,0,1
5326,0,6,2,1899,308,-36,-1,0.20000000000000018,9,16,-13,-1,-1,0,0,1
728,1,3,4,-1003,-1571,1,1,-0.40000000000000036,0,-3,-5,0,0,0,0,0
5189,0,3,3,835,1506,-18,-5,0.20000000000000018,-2,53,8,-1,-1,0,0,1
2974,0,8,10,-648,-1422,-2,1,-0.20000000000000018,1,11,-9,-1,-1,0,0,0
5016,1,12,6,2936,1143,0,1,0.20000000000000018,5,-8,-24,-2,-1,1,0,1
8219,1,8,6,1625,552,1,-1,0.20000000000000018,2,1,0,-1,-1,0,0,1
7155,1,6,3,534,89,40,1,0.0,6,-45,-1,-1,-1,0,0,0
5933,0,2,10,-4331,-3757,-8,1,-1.0,-11,-36,-23,-2,-1,1,0,1
4411,1,9,10,270,-688,23,0,-0.20000000000000018,2,15,-24,-1,-1,0,0,1
3230,0,2,5,-1947,-2097,-8,0,-0.40000000000000036,-4,-25,-12,-1,-1,0,0,0
9033,0,7,10,-3333,-2568,5,-4,-0.5999999999999996,-4,-41,4,0,0,0,0,0
8698,1,2,1,995,1649,22,-2,0.40000000000000036,3,6,8,0,0,0,0,1
880,1,7,7,994,-547,22,1,0.0,1,-20,15,0,-1,0,0,0
8684,1,7,6,-153,-1105,1,0,-0.40000000000000036,4,-25,-9,1,1,0,0,0
4000,1,4,6,1613,80,4,4,0.0,4,51,-20,-2,-1,1,0,0
9692,0,1,4,-2264,-964,28,-6,-0.39999999999999947,-2,-25,-3,0,0,0,0,0
3844,0,4,8,-2208,-2862,2,2,-1.0,0,-20,-24,-2,-1,1,0,0
2600,1,5,2,932,542,5,-2,-0.20000000000000018,0,-12,5,0,0,0,0,1
4221,1,7,5,2077,986,4,-1,0.40000000000000036,2,21,3,-1,-1,0,0,0
1220,0,7,7,-536,-864,1,-1,0.0,1,-43,-10,1,1,0,0,1
7754,1,6,1,2919,2298,4,-1,0.6000000000000005,7,32,13,0,0,0,0,1
6354,1,5,6,-1547,-1049,-5,3,-0.20000000000000018,1,-31,3,1,1,0,0,1
2968,0,4,11,-4664,-2707,-6,6,-0.6000000000000005,2,-36,-29,-2,-1,1,0,0
9329,0,4,7,-1035,582,34,-1,0.0,-2,30,5,1,1,0,0,1
3236,0,5,6,-3024,-1285,-20,1,-0.40000000000000036,3,-38,-3,0,0,0,-1,0
4649,1,6,5,-729,-889,7,3,0.0,4,4,-19,1,1,0,0,1
1258,1,9,5,2969,2575,4,-2,0.6000000000000005,6,15,-4,1,0,0,0,1
9152,0,3,5,24,-286,4,2,0.20000000000000018,2,-4,6,0,0,0,0,1
8589,0,12,7,1824,1556,-2,3,0.40000000000000036,11,-7,13,1,1,0,0,1
1674,1,5,11,-2150,-1215,2,-3,-0.20000000000000018,-12,34,-10,-1,-1,0,0,0
4840,1,9,3,1377,-673,-5,1,-0.20000000000000018,10,-47,-7,1,1,0,0,1
5051,0,5,6,-1218,-1528,-2,0,-0.40000000000000036,-3,-42,-19,-2,-1,1,0,1
8079,1,5,3,-174,-70,4,-2,0.20000000000000018,10,-75,8,2,1,0,0,0
9515,1,7,9,-134,-1518,-1,1,-0.5999999999999996,-7,-14,-1,0,-1,0,1,0
810,1,2,1,649,69,-5,3,-0.20000000000000018,0,30,1,0,-1,0,0,1
9255,1,1,3,-196,-282,-4,0,0.0,-3,2,12,1,1,0,0,1
5031,0,8,4,2170,1383,1,3,0.39999999999999947,7,19,-1,1,1,0,0,1
5377,0,7,10,-3183,-1884,2,-2,-0.40000000000000036,-2,-59,-21,1,0,0,-1,1
7134,1,10,13,-921,-1198,0,-4,-0.20000000000000018,-10,39,-3,-1,-1,0,0,0
1562,0,5,3,2323,2120,22,0,0.40000000000000036,3,11,4,1,0,0,1,0
7473,0,4,3,606,820,5,1,0.40000000000000036,0,18,8,0,-1,0,0,0
6972,0,4,5,-758,-392,0,2,-0.20000000000000018,3,13,6,-2,-1,1,0,0
7780,1,11,14,-4259,-3503,51,-2,-1.4000000000000004,-11,-45,-6,-1,0,1,-2,0
8314,1,4,7,-1002,-498,-43,2,-0.40000000000000036,-5,63,-14,-2,-1,1,0,1
4323,1,5,13,-5760,-4168,-10,4,-1.2000000000000002,-5,-74,-9,-1,0,1,-1,0
1969,0,8,9,321,368,-1,-1,0.20000000000000018,-6,9,8,0,0,0,1,1
6468,1,4,6,-448,-163,0,-2,0.0,-4,-27,17,-1,-1,0,0,1
135,0,6,9,-556,-235,-4,0,0.20000000000000018,-11,85,-5,1,1,0,0,1
1093,0,5,8,-1437,-1656,-24,0,-0.20000000000000018,1,-11,-4,-2,-1,1,0,0
9800,0,7,7,-451,336,-46,-2,0.40000000000000036,-1,-6,0,-1,-1,0,0,1
2083,0,3,3,-1033,-1797,-20,1,-0.5999999999999996,-2,-32,2,0,0,0,0,0
2560,0,7,6,-555,-1462,-26,0,-0.40000000000000036,4,-40,-17,0,1,1,0,0
1652,0,4,8,-2975,-2024,-25,1,-0.40000000000000036,-6,-39,1,1,1,0,0,0
5408,0,10,5,3305,2586,-1,3,0.40000000000000036,2,20,4,0,-1,0,0,0
2250,1,11,9,1713,1791,3,-1,0.8000000000000007,-1,55,15,0,0,0,0,1
9582,0,0,3,-2153,-1344,39,-2,-0.40000000000000036,-3,-12,-4,1,1,0,0,0
4710,0,9,7,731,1627,9,0,0.20000000000000018,3,20,5,-1,-1,0,0,1
934,1,7,7,-754,-729,2,1,-0.20000000000000018,1,-25,-10,1,1,0,0,0
4963,1,8,7,1097,1914,-1,-1,0.20000000000000018,0,14,31,1,1,0,0,1
6415,0,5,13,-4644,-3580,0,-2,-1.0,-10,-49,-6,0,0,0,0,0
8503,0,4,6,-2286,-926,-1,2,0.0,-3,-26,9,1,1,0,0,0
4303,1,3,9,-4073,-2595,-7,2,-0.6000000000000005,-5,-15,-28,-1,0,1,0,0
457,0,14,10,1543,-21,-4,-1,0.0,1,27,-4,-1,-1,0,0,1
4725,0,7,4,178,1499,-3,3,0.6000000000000005,5,-17,5,1,0,0,0,0
1919,1,11,8,2587,1759,2,1,0.7999999999999998,7,14,3,1,1,0,0,0
8621,1,6,3,936,-497,-23,-3,-0.7999999999999998,4,-24,-8,0,-1,0,0,1
3883,0,3,6,-2345,-2959,-3,0,-0.7999999999999998,-3,-6,-40,-1,-1,0,0,0
314,1,8,8,-336,-1059,0,3,-0.40000000000000036,0,0,-31,-1,-1,0,0,0
2925,0,6,6,1044,662,96,-2,0.0,1,0,28,0,0,0,0,0
3413,1,5,9,-2141,-52,-26,-5,0.0,-5,-16,25,0,1,1,0,0
8048,0,6,6,-258,569,4,-1,-0.20000000000000018,-3,-19,-4,1,1,0,0,1
6871,1,6,4,422,-758,0,-1,-0.20000000000000018,4,8,-3,1,1,0,0,1
8825,1,6,6,1091,1084,23,1,0.40000000000000036,-1,-14,3,-2,-1,1,0,1
4619,0,2,9,-3975,-4232,63,1,-0.7999999999999998,-8,-31,-13,0,0,0,0,0
631,1,8,4,2183,263,74,3,0.0,-2,34,-20,1,1,0,0,1
9272,1,7,4,1589,-197,1,1,0.20000000000000018,10,-19,-26,-2,-1,1,0,0
1316,1,8,5,845,-234,2,3,0.0,2,10,-14,-1,-1,0,0,0
6810,0,9,8,948,292,-1,-1,0.20000000000000018,3,10,-31,-1,-1,0,0,1
1851,1,6,3,664,185,4,-3,0.20000000000000018,4,-25,-20,0,-1,0,0,0
2963,0,7,14,-2302,-997,22,-4,0.0,-11,34,-18,0,0,0,0,0
9305,1,7,4,273,255,0,-1,0.20000000000000018,0,-15,-19,0,-1,0,0,0
6002,1,7,9,31,-472,-21,-2,-0.20000000000000018,-4,16,11,1,1,0,0,0
5153,1,6,5,509,595,2,-3,0.40000000000000036,7,-9,-6,-1,-1,0,0,0
9690,1,11,2,3390,2090,-21,3,0.40000000000000036,7,1,-13,1,1,0,0,0
9081,1,6,8,-411,374,-4,-3,0.0,-10,2,7,1,1,0,0,0
8356,1,11,4,3987,3310,1,1,1.0,1,63,15,1,1,0,0,0
3033,0,2,6,-5838,-4101,3,-1,-0.6000000000000005,-2,-70,-29,-1,-1,0,0,0
9390,0,7,8,-1464,-1575,23,-1,-0.20000000000000018,5,-51,0,0,0,0,0,1
4548,1,3,5,-1053,-1363,6,-1,-0.40000000000000036,0,-18,7,1,1,0,0,0
3239,1,9,8,2309,1211,3,0,0.0,7,40,-16,-1,-1,0,0,1
1382,1,8,2,3131,2377,6,-1,0.8000000000000007,11,1,17,1,1,0,0,1
6437,1,5,5,1470,498,1,0,0.20000000000000018,1,44,10,1,1,0,0,0
4885,0,4,11,-3426,-2754,-2,-5,-0.39999999999999947,-11,-8,0,1,1,0,0,1
423,0,10,6,3397,1493,3,0,0.20000000000000018,1,37,-6,0,0,0,0,1
5140,1,12,7,2247,1367,5,-1,0.40000000000000036,11,5,18,1,1,0,0,1
2223,1,6,6,505,-255,22,4,-0.20000000000000018,4,10,-25,-1,-1,0,0,0
3127,1,3,8,-2765,-2274,0,-1,-0.7999999999999998,-12,-12,-11,-2,-1,1,0,1
4318,1,8,7,-1073,-657,-2,-1,0.20000000000000018,2,-42,-7,-1,0,1,0,0
6713,1,11,7,1059,683,5,0,0.40000000000000036,7,43,-25,0,0,0,0,1
8638,1,4,3,1401,85,-20,0,0.0,1,58,-19,0,0,0,0,1
3128,1,8,4,-82,280,2,3,-0.20000000000000018,7,-45,3,1,1,0,0,0
347,0,7,11,-1751,-2784,13,3,-0.6000000000000005,1,-11,-14,-1,0,1,0,1
7174,1,10,7,1348,1158,-18,0,0.40000000000000036,6,1,-32,0,1,1,0,1
2473,1,6,4,1748,1496,26,1,0.0,4,22,14,-1,-1,0,0,1
8958,1,9,14,-4473,-2976,5,-3,-0.40000000000000036,-6,-31,-19,-2,-1,1,-1,0
3275,1,3,6,-2968,-2262,-28,-1,-0.7999999999999998,-6,-39,0,-2,-1,1,0,0
7285,0,6,7,-1248,503,-1,-1,0.39999999999999947,-7,29,-1,1,1,0,-1,0
9797,0,8,6,1882,1490,4,1,0.20000000000000018,0,28,4,0,0,0,0,1
6476,0,7,4,441,130,1,0,0.0,6,-23,-11,1,1,0,0,0
9452,0,2,8,-2575,-982,0,-1,-0.20000000000000018,-8,-3,28,-1,-1,0,0,0
2031,1,8,5,1179,-736,46,0,-0.40000000000000036,3,3,-4,1,0,0,0,1
2729,0,7,7,-211,320,-23,-3,0.20000000000000018,-5,14,7,-1,-1,0,0,0
9265,1,6,4,1235,1010,42,2,0.20000000000000018,-2,41,8,0,0,0,0,1
6266,1,11,11,175,-532,0,0,0.0,2,-11,-43,-1,-1,0,0,0
6836,0,14,7,3702,3355,20,6,0.6000000000000005,6,69,-17,0,1,1,0,1
7694,0,6,6,370,726,8,-3,0.20000000000000018,2,-19,16,1,1,0,0,1
8402,1,4,4,218,-1933,-24,1,-0.20000000000000018,-2,-14,-8,-1,-1,0,0,1
8044,1,3,8,-4235,-4926,3,-3,-1.0,-1,-46,-30,-1,-1,0,-1,0
7954,1,12,5,3807,1849,-2,1,-0.20000000000000018,2,15,5,2,1,0,0,1
7642,1,6,6,-25,954,4,0,0.40000000000000036,-3,-3,20,1,1,0,0,0
6979,1,8,5,1835,1172,-4,0,0.20000000000000018,1,38,0,-2,-1,1,0,1
8298,1,11,3,3865,3559,-3,0,1.0,12,11,3,-1,-1,0,0,0
7778,1,5,1,2263,1451,-1,2,0.40000000000000036,4,7,0,0,0,0,0,1
8620,1,5,6,1895,-224,4,1,0.0,0,36,1,2,1,0,1,1
9587,0,3,6,-2418,-2255,-18,1,-0.40000000000000036,-6,-26,-21,0,0,0,0,0
4716,1,6,4,2387,1690,-20,2,0.6000000000000005,3,41,8,1,1,0,0,1
4700,0,5,7,-860,-121,-3,2,-0.20000000000000018,-8,9,6,0,-1,0,0,1
882,0,5,8,110,-402,-2,-1,-0.20000000000000018,-3,0,4,1,0,0,0,1
6263,1,7,13,-2168,-2823,2,-1,-0.6000000000000005,-3,-6,0,-1,-1,0,0,0
9683,0,5,5,-149,645,0,2,0.20000000000000018,0,14,-3,-1,-1,0,0,0
3260,1,9,7,875,276,3,-1,0.0,7,28,-4,1,0,0,0,1
7548,0,4,6,-1530,-146,-24,-2,-0.20000000000000018,-6,-19,-5,2,1,0,0,0
26,0,8,6,1260,-55,8,-2,0.20000000000000018,6,-24,8,1,1,0,0,1
2680,1,8,0,5109,3009,4,0,0.6000000000000005,6,28,8,-1,-1,0,0,1
6145,0,2,9,-4446,-3703,-7,2,-1.0,-9,-45,4,-1,-1,0,0,0
8462,1,8,9,-379,-662,2,-1,0.20000000000000018,-1,-5,24,0,1,1,0,0
567,1,6,2,1978,1595,1,-1,0.0,3,65,-14,2,1,0,0,1
2459,1,4,3,1323,25,-3,3,0.20000000000000018,-1,32,-9,1,1,0,0,0
8916,1,4,4,-1050,89,30,2,0.0,-3,-25,8,0,-1,0,0,0
6605,1,8,6,1740,929,-2,0,0.40000000000000036,1,32,8,-1,-1,0,0,0
4701,0,5,3,786,1155,2,2,0.40000000000000036,0,6,3,1,1,0,0,0
3899,0,4,14,-4637,-3355,1,-2,-0.7999999999999998,-17,-24,-16,0,0,0,0,0
954,0,5,7,-1341,445,-1,0,0.0,3,-22,23,-1,-1,0,0,1
5704,1,4,8,-1841,-357,-14,2,-0.20000000000000018,-5,5,16,0,0,0,0,0
94,0,7,7,-1031,-394,-2,-2,-0.20000000000000018,3,-46,-12,1,1,0,0,0
5694,1,6,5,1078,2430,8,-2,0.40000000000000036,-3,43,-7,-1,-1,0,0,1
3269,0,1,4,-1159,-73,-9,0,-0.20000000000000018,-3,-9,4,-2,-1,1,0,0
194,0,6,11,-2308,-1767,-2,-2,-0.6000000000000005,-10,-15,11,1,1,0,0,0
3940,1,9,2,4909,2760,2,0,0.40000000000000036,8,50,-4,0,-1,0,0,1
1781,1,9,6,1792,1373,2,1,0.40000000000000036,8,-8,16,0,-1,0,0,1
574,1,5,1,2717,1557,3,-3,0.0,4,-7,-8,2,1,0,0,1
5322,0,10,10,1167,-431,22,-1,0.0,6,3,-5,2,1,0,1,1
9851,0,4,8,-2591,-1250,2,-1,-0.6000000000000005,-8,-19,-17,-1,-1,0,0,0
6676,1,3,2,1180,1124,-5,1,0.0,2,15,12,-1,-1,0,0,0
7378,0,4,6,-2128,264,9,-1,-0.20000000000000018,-4,-37,20,1,1,0,0,0
2313,1,1,3,-2079,-538,-1,0,0.0,-4,-29,11,0,0,0,0,0
1817,0,10,7,2343,2878,57,0,0.7999999999999998,1,39,-4,0,-1,0,0,1
5371,0,4,7,-1782,-1311,5,0,-0.20000000000000018,-2,-30,-6,0,-1,0,0,0
1475,1,5,11,-2947,-2189,52,1,-0.40000000000000036,-8,-31,11,1,1,0,0,0
8146,0,3,9,-3224,-1270,2,-6,-0.40000000000000036,-15,-31,22,0,-1,0,0,0
6326,0,4,5,-502,-413,-8,0,-0.40000000000000036,-3,-8,-4,1,1,0,0,0
9723,1,8,9,-1529,82,-7,2,-0.20000000000000018,0,-29,13,0,1,1,-1,0
530,1,6,3,2089,1771,5,-1,0.39999999999999947,3,45,9,0,-1,0,0,1
4508,1,4,4,690,444,-7,0,0.0,-2,39,-6,-1,-1,0,0,1
4668,1,13,9,4612,2877,0,2,0.40000000000000036,1,32,40,1,1,0,1,1
922,0,5,3,766,-662,-20,0,0.40000000000000036,5,24,-36,0,0,0,0,0
3024,0,6,4,1126,878,10,-1,0.20000000000000018,3,2,-1,0,1,1,0,1
8408,1,5,1,2028,1165,4,0,0.20000000000000018,3,-8,2,1,1,0,0,1
6255,0,2,2,-1767,-2080,-24,1,-0.40000000000000036,1,-21,-26,1,1,0,0,1
1040,0,4,7,-1729,-1258,1,-4,0.0,-2,-32,2,-1,-1,0,0,0
834,0,6,4,989,631,-6,-2,0.0,1,3,8,1,0,0,0,0
7748,1,8,3,2578,1160,1,3,0.40000000000000036,8,17,-5,0,1,1,0,1
7663,1,13,5,5025,3609,4,1,0.7999999999999998,3,92,4,2,1,0,0,1
4373,0,4,9,-781,289,28,-1,0.0,-5,53,-13,-1,-1,0,0,1
2306,1,3,8,-3439,-1460,-3,4,0.0,-5,-37,16,0,-1,0,0,0
4409,0,6,5,488,2349,3,-2,0.8000000000000007,-6,32,14,0,-1,0,0,0
6105,0,5,7,1000,346,4,-2,0.20000000000000018,-2,26,11,0,-1,0,1,0
5552,0,8,11,-590,527,173,2,0.39999999999999947,-2,-18,4,0,0,0,0,1
259,0,4,7,-1059,-951,4,-2,-0.20000000000000018,-6,-4,6,-2,-1,1,0,0
