blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,redWardsPlaced,redWardsDestroyed,redAssists,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,blueWins
11,3,1,8,8,6,0,0,0,16488,7.0,17386,208,41,15,0,7,1,0,0,17358,7.2,18506,241,48,0
20,2,1,11,4,11,1,0,0,19035,7.4,19997,232,43,16,2,5,0,1,0,16296,7.2,18827,268,44,1
18,1,0,4,6,3,1,0,0,15377,7.2,18315,215,51,13,2,5,0,0,0,16639,7.0,17701,225,66,0
36,3,0,9,7,6,1,1,0,17195,7.2,18590,178,75,17,1,7,0,0,0,16368,6.8,17319,201,46,1
81,3,0,16,7,12,1,0,0,21285,7.4,20332,229,60,12,0,6,0,0,0,16131,6.8,16495,174,52,1
18,1,1,7,2,6,0,0,0,16647,7.0,18161,214,48,27,2,1,0,0,0,13390,6.2,16023,197,44,1
17,3,0,9,3,11,0,0,0,16954,6.8,17771,221,32,31,5,4,1,0,0,14365,6.4,15262,187,46,1
40,4,0,6,9,5,0,0,0,15499,6.8,17298,222,28,13,5,12,1,0,0,17436,7.0,18812,204,59,0
38,4,1,3,6,3,0,0,0,15541,7.0,18700,236,48,14,0,5,1,0,0,15917,7.0,18771,226,48,0
14,3,0,3,10,6,0,0,0,14836,6.4,16507,214,45,17,1,9,1,0,0,18257,7.2,19343,229,44,0
19,2,0,4,7,5,0,1,0,15214,6.8,16970,211,40,15,5,6,1,0,0,16016,6.8,17812,209,52,0
15,1,1,7,4,7,0,0,0,16985,7.2,18420,248,32,14,1,5,1,0,0,15993,6.6,18027,229,65,1
14,3,1,9,7,11,0,0,0,17382,7.2,19283,220,55,41,3,10,0,0,0,16279,7.2,18166,209,36,0
20,3,1,3,11,3,0,0,0,14731,6.6,16187,193,36,43,5,17,1,0,0,18535,7.4,19065,217,44,0
17,2,0,3,7,5,0,0,0,14676,6.6,16668,170,59,18,1,3,1,0,0,16239,6.8,17900,201,52,0
16,4,0,6,11,8,0,0,0,16536,6.8,16917,232,41,76,4,12,1,0,0,18554,7.0,19318,232,48,0
16,2,1,7,3,9,0,0,0,17188,7.2,19483,244,57,10,2,0,0,0,0,15178,6.8,18118,226,71,1
18,4,1,6,5,7,0,0,0,16517,6.4,17161,219,49,15,3,3,1,0,0,15115,7.0,17727,206,56,0
40,2,1,7,6,8,1,1,0,17002,7.2,18865,209,64,13,2,5,0,0,0,17367,7.4,19132,229,50,0
39,1,1,7,4,6,0,0,0,15885,7.2,19056,207,52,22,5,4,0,0,0,15760,6.8,16998,224,47,0
15,0,1,10,7,11,1,1,0,16743,6.6,17531,189,44,14,2,5,0,0,0,16691,6.8,17310,208,38,1
17,6,0,7,8,7,1,0,0,17459,6.8,17773,209,56,42,5,6,0,0,0,17460,6.8,18232,231,52,1
51,3,0,10,5,16,1,0,1,17535,6.4,15420,173,40,14,2,4,0,0,0,16099,6.8,16964,207,66,1
18,1,0,6,7,10,0,1,0,16557,6.8,17632,230,47,38,5,11,1,0,0,18048,7.0,18431,222,53,0
14,2,0,5,19,4,0,0,0,14815,6.2,14755,183,48,15,2,23,1,1,1,22681,7.4,20132,219,48,0
20,5,1,8,5,11,1,0,0,17366,7.0,17659,229,46,18,5,3,0,0,0,16292,6.8,17607,245,34,1
19,2,1,9,7,9,0,0,0,17498,7.0,17932,200,42,16,2,6,0,1,0,16475,6.8,17913,196,32,1
13,2,0,4,10,2,0,0,0,14774,6.6,16999,214,40,37,3,11,1,1,0,17806,7.2,19815,215,52,0
18,0,1,11,5,11,0,0,0,19267,7.2,19780,257,50,10,0,4,1,1,0,16598,6.6,17037,205,41,1
14,2,0,5,6,6,1,0,0,17251,7.4,19984,233,76,16,2,5,0,0,0,16917,7.0,19029,230,60,1
19,2,1,7,0,9,1,0,1,18745,7.0,18917,259,48,12,1,0,0,1,0,13962,6.4,16066,217,64,1
163,1,0,4,4,4,1,0,0,15639,7.0,18956,230,60,17,5,5,0,0,0,16872,7.2,18686,243,56,0
12,0,1,9,10,13,0,1,0,17665,6.8,18891,211,44,15,0,14,1,0,0,19091,7.2,19163,214,64,1
16,1,0,5,9,5,1,1,1,18041,7.0,18637,221,60,15,3,14,0,0,0,17255,6.8,17588,213,33,1
15,3,1,5,6,4,0,0,0,17024,7.2,19195,254,63,12,2,7,0,0,0,16123,6.8,18013,214,48,1
16,0,0,11,6,11,1,1,0,19294,7.4,20668,242,52,14,2,9,0,0,0,16544,7.0,18021,203,52,1
16,3,0,5,13,8,0,0,0,15642,6.4,15825,214,35,14,2,12,1,0,0,19453,7.2,18932,210,59,0
38,1,1,3,11,5,0,0,0,14496,6.4,16377,215,48,56,0,17,1,0,0,19499,7.6,21059,208,83,0
18,4,0,2,5,3,1,0,0,15474,7.4,19351,244,72,51,2,7,0,1,0,16376,7.2,18966,237,56,0
16,1,1,7,17,8,0,1,0,16239,6.4,16109,202,52,17,3,19,1,0,0,21115,7.2,19590,230,56,1
84,0,0,6,14,5,0,0,0,15740,6.4,15862,177,49,22,1,16,1,0,0,19833,7.2,18706,208,41,0
14,0,1,6,4,12,1,1,0,16939,7.0,17733,211,56,18,3,6,0,0,0,15520,6.6,17002,227,54,1
41,5,1,5,4,3,1,0,0,15277,6.6,17240,207,47,19,13,5,0,0,0,15664,6.4,16445,217,59,1
15,3,0,8,8,8,1,0,0,17706,6.8,18217,217,60,16,0,11,0,0,0,18198,7.2,18390,230,52,1
16,3,0,4,3,8,1,0,0,15714,7.0,17817,230,49,17,1,6,0,1,0,15125,6.8,17142,199,67,0
48,0,1,3,7,7,0,0,0,14887,6.6,16190,214,48,17,5,6,1,0,0,16612,6.8,18194,242,48,1
14,4,0,2,8,2,1,1,0,15034,7.0,17176,204,77,15,4,11,0,0,0,17009,7.0,18064,201,44,0
122,3,1,9,1,10,1,1,0,18269,7.2,19659,229,68,14,3,1,0,0,0,14336,6.4,16737,233,40,1
22,0,1,4,7,4,0,1,1,17104,6.6,17075,224,61,17,4,8,1,0,0,17773,6.8,17577,209,46,1
14,2,0,2,9,2,0,0,0,14646,6.6,16931,219,48,16,3,12,1,1,1,19682,7.4,19179,262,68,0
15,2,0,8,6,6,0,0,0,16947,7.0,18862,184,64,17,2,8,1,1,1,17485,6.8,17185,198,47,1
14,0,0,6,7,9,0,0,0,16060,6.6,16426,187,50,14,1,7,0,0,0,17836,7.2,19691,248,60,0
15,3,1,9,1,8,0,0,0,17786,7.0,19149,233,52,16,2,1,0,0,0,14382,6.6,16636,206,51,1
12,3,0,11,14,8,0,0,0,18229,7.2,19238,198,48,12,0,14,1,0,0,19731,7.4,19559,186,43,0
16,1,1,7,4,8,1,0,0,16351,6.8,17063,171,55,15,0,2,0,0,0,14864,6.4,15920,224,28,1
17,2,0,3,15,2,0,1,0,15320,6.8,16625,176,56,33,5,15,1,0,0,19668,7.6,20644,208,48,0
13,2,0,7,14,11,0,0,0,14416,5.2,11286,90,30,16,1,19,0,0,0,19669,6.6,16567,203,44,0
13,1,0,4,8,4,0,0,0,15676,7.2,19519,223,63,19,3,7,1,1,0,18152,7.4,19913,260,64,0
18,4,1,7,8,7,0,0,0,16927,6.8,17042,223,42,21,3,7,0,0,0,17425,7.0,17903,228,51,0
15,3,1,10,4,13,0,0,0,18504,7.0,19016,206,55,17,5,2,1,0,0,15058,6.8,17457,221,50,1
47,0,1,5,3,7,0,0,0,16329,6.8,17600,205,48,12,3,4,0,0,0,15009,6.8,17778,218,48,1
18,5,1,4,5,7,0,0,0,15340,6.6,16902,213,43,18,7,5,1,1,0,16225,7.2,18456,240,60,1
21,3,1,5,3,8,1,0,0,16751,6.8,17829,247,39,11,1,1,0,0,0,14554,6.2,16122,193,60,1
16,5,1,4,2,4,0,1,0,16470,7.2,19232,232,59,14,2,3,1,0,0,14752,6.6,16285,218,48,1
33,2,0,11,7,12,1,0,1,19241,7.0,18942,198,50,12,1,11,0,0,0,17891,7.0,18365,247,44,1
15,5,1,9,4,12,1,0,0,17190,6.6,17783,210,41,14,2,5,0,1,0,15343,6.8,16699,200,40,1
42,2,1,8,3,6,0,0,0,16532,7.2,18420,229,40,34,2,2,0,1,0,14974,7.0,17635,206,56,1
14,2,1,4,8,2,0,1,0,16266,6.6,17958,224,47,19,0,13,1,0,0,16888,7.2,19236,231,53,0
15,5,1,3,3,6,0,1,0,15204,6.8,17963,209,68,13,4,3,1,0,0,15051,6.8,17046,232,51,1
19,3,0,7,6,12,1,0,0,17737,7.0,18873,220,48,51,0,10,0,0,0,16611,7.2,18324,228,55,1
16,0,1,8,2,10,0,0,0,18330,7.4,19257,232,52,38,1,1,1,1,1,16561,7.2,18938,251,67,1
20,1,1,8,8,10,1,1,0,16906,6.8,17910,207,48,15,3,4,0,0,0,16680,6.8,17689,176,54,0
82,2,1,12,3,14,1,0,0,19032,7.2,19015,191,63,12,3,3,0,0,0,15067,6.4,15510,182,52,1
18,2,0,7,8,6,1,0,0,16482,6.6,17043,229,40,16,3,13,0,1,0,17154,6.8,17378,190,56,0
10,0,1,2,1,1,0,1,1,14780,6.0,14277,188,44,6,0,0,0,0,0,11212,4.8,11351,132,27,1
14,0,1,4,4,6,0,0,0,15866,7.0,18127,221,53,40,3,4,1,0,0,15648,7.2,18725,219,60,1
16,4,1,2,3,1,0,0,0,15572,7.2,19166,242,83,17,0,4,1,0,0,14670,6.8,18306,231,47,1
13,5,1,6,5,3,0,0,0,16590,7.0,19180,228,43,13,1,10,1,0,0,15381,7.0,18081,202,52,1
37,4,0,7,7,8,1,0,0,17114,7.0,18783,210,41,11,11,6,0,0,0,17332,7.4,19623,226,71,0
18,1,1,12,1,12,1,0,0,20136,7.8,20899,235,61,13,0,0,0,0,0,13846,6.4,16180,201,63,1
18,2,0,9,8,12,0,0,0,18004,7.4,20025,251,46,19,4,8,1,0,0,18309,7.2,19340,249,64,0
36,1,1,5,9,7,0,0,0,15440,6.8,17277,175,57,12,2,10,0,0,0,17934,7.2,20032,237,57,0
16,4,1,9,3,13,1,0,0,19186,7.2,19737,261,52,14,2,4,0,0,0,14855,6.4,16310,199,48,1
14,2,1,5,2,6,0,1,0,17511,7.4,20020,253,59,12,2,2,1,0,0,14716,7.0,17318,244,52,0
20,4,1,8,8,12,1,0,0,16796,6.6,16424,185,48,15,3,14,0,0,0,16096,6.2,15203,175,28,1
60,3,1,3,2,2,0,0,0,14863,7.0,18643,230,53,14,4,2,0,0,0,14542,7.0,18903,230,50,0
14,1,1,6,4,12,1,0,0,16189,6.8,17737,224,39,102,1,4,0,0,0,15564,7.0,18271,217,48,1
13,5,1,5,10,7,0,0,0,15135,6.8,16444,197,41,38,4,12,1,0,0,18839,7.6,20805,244,72,0
17,0,1,4,1,8,0,0,0,14298,6.4,15101,171,33,14,0,1,0,0,0,13446,6.4,15127,213,39,1
55,1,0,4,5,7,0,0,0,15900,7.0,17743,187,68,13,3,4,1,0,0,16588,6.8,17973,236,51,0
46,2,0,3,6,0,0,1,0,14984,7.0,18050,235,64,19,3,3,1,0,0,16271,7.0,18796,237,58,0
16,1,0,5,3,7,1,0,0,16860,7.0,18682,264,45,15,2,2,0,0,0,15615,7.0,17996,248,63,1
38,3,1,6,6,11,0,0,0,17244,7.2,18750,221,51,15,2,12,1,1,0,16153,6.8,17666,235,48,1
16,1,1,5,3,6,0,0,0,15782,7.0,18450,219,40,14,4,4,1,0,0,15503,7.0,18058,246,63,1
17,0,1,7,5,11,0,1,0,16977,7.0,17852,201,44,9,5,9,1,0,0,15224,6.6,17005,186,49,1
16,2,1,6,5,4,1,0,0,17379,7.2,19080,251,64,61,1,5,0,1,0,15620,6.8,17370,220,44,0
20,2,1,9,6,10,1,0,0,16836,6.6,17688,186,48,18,3,4,0,0,0,16524,6.8,18301,215,54,0
17,3,1,12,5,14,1,0,0,18499,7.0,17823,210,36,15,1,6,0,0,0,15026,6.2,15011,204,20,1
19,5,1,10,5,18,1,1,0,18682,7.4,19196,207,67,17,4,6,0,0,0,15949,6.8,17134,216,49,1
30,1,0,3,9,2,0,1,0,14423,7.2,17518,188,59,12,1,12,0,0,0,17334,6.8,17804,201,38,0
15,5,0,9,4,7,0,0,0,17928,7.4,20419,250,60,36,1,5,0,0,0,15414,7.0,17495,180,61,1
18,4,1,3,3,5,1,0,0,15200,6.8,17127,230,56,15,4,3,0,0,0,14538,6.6,17094,202,47,1
68,2,1,7,9,8,0,0,0,16274,6.8,17652,204,41,14,1,13,0,0,0,17522,7.2,18495,211,41,1
15,2,0,4,8,5,0,0,0,14993,6.6,16251,215,33,14,6,10,1,0,0,16838,7.0,18130,229,52,0
36,1,1,5,5,8,0,0,0,16192,6.8,18197,209,60,11,1,4,1,0,0,15136,7.0,18379,185,46,1
12,3,1,4,2,5,0,0,0,16164,7.2,19020,246,46,59,1,3,1,0,0,15208,7.2,19047,242,73,1
15,6,1,8,4,7,0,0,0,17239,6.8,18339,210,52,17,4,4,1,0,0,16038,7.0,18385,225,80,0
47,4,1,9,9,18,0,0,0,17284,6.2,15506,182,42,17,2,15,0,0,0,16734,6.6,15877,192,44,1
27,2,1,3,6,4,0,0,0,15742,7.0,17970,214,64,18,2,6,1,0,0,16492,7.2,18246,232,52,0
14,7,0,3,2,3,1,0,0,16075,7.2,19032,251,63,15,4,3,0,0,0,15478,7.0,18473,244,44,1
12,5,1,7,3,5,0,0,0,17019,7.2,19372,236,46,18,4,3,1,1,0,15844,6.8,18409,231,69,0
25,3,0,3,8,1,0,0,0,14868,6.6,16222,237,41,18,5,9,1,1,0,18214,7.2,19375,229,52,0
40,3,0,6,7,6,0,0,0,16302,6.8,17297,212,52,17,4,7,0,1,0,16513,7.2,18602,211,46,0
26,1,1,10,6,9,1,0,0,17252,7.0,18227,212,40,15,1,5,0,0,0,16098,7.0,17228,220,42,1
17,3,1,10,10,14,0,0,0,17207,6.8,17379,179,40,26,1,5,0,0,0,16688,7.2,18127,188,55,0
16,3,0,9,7,13,1,1,0,17906,6.8,18001,178,60,14,1,4,0,0,0,17396,6.8,17859,215,56,1
17,4,1,9,8,12,0,0,0,18385,7.4,19948,248,65,17,5,8,1,1,0,17778,7.0,18655,240,56,1
13,1,0,5,9,5,1,0,0,17006,7.2,18416,245,52,15,2,12,0,0,0,18688,7.2,19569,260,47,0
15,2,0,6,13,9,0,0,0,16291,6.6,16699,191,38,146,2,12,0,0,0,19913,7.0,19260,223,39,0
30,0,0,4,7,2,0,1,1,17040,7.2,18774,228,76,15,1,7,1,0,0,16747,6.8,18056,204,56,0
45,4,1,14,5,22,0,0,0,19551,7.2,18331,198,43,13,5,6,0,0,0,16655,6.6,16330,228,35,1
17,8,1,7,6,7,0,0,0,18248,7.2,19067,231,55,37,2,3,1,0,0,16259,7.0,17961,215,55,1
14,1,1,4,6,7,0,0,0,16636,7.2,18650,243,52,14,1,5,1,0,0,15968,7.4,19112,223,48,0
18,1,0,2,5,4,1,1,0,14414,6.4,16249,215,64,13,2,10,0,0,0,16777,7.2,18393,233,64,0
14,2,0,3,12,2,0,0,0,14769,6.4,16504,205,45,14,3,13,0,0,0,19143,7.0,19074,209,53,0
13,0,1,9,9,7,1,0,0,17687,6.8,18503,206,56,16,1,13,0,0,0,18296,7.0,19007,225,60,0
40,3,1,7,10,7,0,0,0,15989,6.4,16090,179,32,16,3,16,1,0,0,18651,7.0,18260,204,43,0
14,1,1,12,12,16,0,0,0,18714,6.8,18333,199,37,19,0,12,0,0,0,17913,6.8,18071,182,37,0
14,4,0,12,5,23,1,0,0,18494,6.8,17736,212,43,25,1,9,0,0,0,15396,6.2,15051,188,34,1
17,3,0,7,10,4,0,0,0,15970,6.8,17608,196,55,15,2,10,0,0,0,18016,7.0,18299,226,40,0
60,1,0,5,11,2,0,0,0,15346,6.4,15646,187,38,12,5,13,1,0,0,18110,7.2,18580,202,44,0
41,3,0,6,4,5,0,0,0,15724,6.8,17512,217,46,21,3,7,1,0,0,15643,6.4,15647,219,58,1
13,5,1,3,7,4,0,0,0,15392,6.8,17234,240,44,15,3,9,0,0,0,16837,6.8,17928,225,50,0
47,2,0,3,12,3,0,1,0,15096,6.2,15306,212,50,14,20,16,1,0,0,17579,6.6,17002,144,41,1
48,7,1,3,4,3,0,0,0,14482,6.8,17114,198,34,18,6,4,1,1,1,17817,7.2,19616,248,52,1
13,3,0,6,10,5,1,0,0,15741,6.8,17468,198,43,17,3,7,0,0,0,17605,7.2,18537,205,48,1
17,3,0,4,1,5,1,0,0,16041,7.0,18214,233,44,39,2,1,0,0,0,14150,7.0,17611,214,47,1
15,13,0,3,9,1,1,0,0,14711,6.8,18284,204,52,42,3,7,0,0,0,18270,7.2,19684,256,43,0
36,1,0,2,2,3,1,0,0,15313,7.0,18483,221,66,16,1,2,0,0,0,14817,6.8,17118,237,48,0
15,5,0,9,4,7,0,0,0,16847,7.0,19212,211,45,17,2,4,0,0,0,15004,6.2,15628,194,50,0
19,5,1,9,6,10,0,0,0,16544,6.6,16417,191,41,47,2,8,0,1,0,15305,6.4,15849,179,41,0
9,1,0,1,1,0,0,0,0,14591,6.8,17823,230,66,12,2,0,1,0,0,15408,7.0,19112,253,76,0
18,5,0,5,3,6,1,0,0,16108,7.2,18920,240,61,39,3,5,0,0,0,15132,6.8,17321,230,42,1
17,3,0,6,3,9,1,0,0,15692,6.8,17598,217,32,16,3,2,0,0,0,15503,6.6,17697,244,48,1
17,4,1,7,4,14,0,1,0,17610,6.8,17839,236,47,19,4,6,1,0,0,14351,6.4,15557,199,38,1
97,3,0,11,7,20,1,0,0,17068,6.2,15357,153,32,16,2,8,0,0,0,16282,6.6,15919,199,40,0
11,3,0,9,8,6,1,1,0,17385,7.2,18349,216,60,37,1,7,0,0,0,16252,6.8,16516,178,28,1
17,5,0,4,2,2,1,1,0,14729,6.8,18508,228,40,17,5,1,0,0,0,14746,6.8,17920,192,69,1
18,2,1,10,11,13,0,0,0,17447,6.4,16191,173,38,12,1,9,0,0,0,17831,7.0,17849,208,40,1
80,0,0,5,7,5,1,0,0,17026,7.0,18231,213,76,15,2,6,0,1,0,17009,7.0,18634,218,68,0
18,2,1,3,3,8,0,0,0,15667,7.0,17801,212,64,62,3,5,1,0,0,15023,7.0,17374,194,64,1
12,4,0,7,11,11,0,0,0,17659,7.0,18496,244,58,15,4,17,1,1,0,18646,7.2,18407,206,49,1
10,3,1,3,4,3,0,0,0,15482,6.8,17584,243,47,19,2,1,1,1,0,15446,7.2,18512,226,67,1
16,3,1,9,2,5,0,0,0,17139,7.2,19137,223,51,14,2,2,1,0,0,14102,6.6,16443,213,41,1
18,2,1,12,6,13,0,0,0,18573,7.2,19391,207,46,16,6,6,0,0,0,15934,6.6,17027,197,38,1
19,3,1,4,2,6,1,1,1,17230,6.6,17823,244,56,39,3,5,0,0,0,15781,7.0,18353,229,77,1
36,3,1,5,5,3,1,0,0,16282,7.2,19492,225,61,13,0,4,0,0,0,15469,7.0,17579,225,52,1
37,3,1,2,4,1,0,0,0,15101,7.0,18673,241,64,44,1,5,1,0,0,16544,7.0,18942,217,68,0
12,2,0,2,3,2,0,0,0,15351,7.0,18539,245,55,35,6,1,1,1,0,14961,7.2,19367,235,56,0
13,3,0,7,5,8,1,0,0,17182,7.2,18588,233,64,16,1,8,0,0,0,15906,6.8,17427,213,52,0
15,4,1,11,6,21,1,0,0,17597,6.8,17045,190,50,12,1,5,0,0,0,15063,6.2,14506,188,32,1
13,0,1,6,3,8,0,0,0,18236,7.2,19626,234,76,13,1,4,0,0,0,14650,6.6,16195,221,47,1
17,1,1,5,6,4,0,1,0,17146,7.0,19051,240,67,23,4,8,1,0,0,16192,7.0,17897,212,50,1
20,5,1,8,6,13,1,0,0,17731,6.8,18132,232,47,19,1,4,0,0,0,16356,6.8,18023,206,48,0
16,3,1,10,4,13,0,0,0,17408,7.2,18740,193,47,14,4,5,1,0,0,15042,6.8,17593,231,44,1
16,4,1,11,9,12,0,0,0,18200,7.0,17815,202,39,18,3,10,1,0,0,16989,7.2,18572,211,60,0
21,3,1,10,8,7,0,0,0,17823,6.6,17275,237,36,17,1,5,1,0,0,16995,6.8,17354,200,47,0
16,4,1,6,1,4,0,0,0,17007,7.4,19713,242,52,16,2,2,1,0,0,13675,6.8,17303,194,68,1
11,0,1,5,9,5,0,0,0,15081,6.2,15753,195,41,19,2,14,0,0,0,16573,6.6,16972,218,22,0
14,3,0,0,5,0,0,0,0,12939,6.4,15958,201,32,19,2,5,1,0,0,17517,7.4,19631,259,79,1
16,1,0,5,12,6,0,0,0,15782,6.4,16172,195,44,19,3,10,1,0,0,18489,7.0,18308,233,40,0
15,3,0,8,6,6,0,0,0,18188,7.4,20313,252,76,17,4,8,1,0,0,16521,6.4,16879,188,51,1
17,3,0,1,5,1,0,1,0,14102,6.8,16463,211,56,16,2,6,0,0,0,16133,7.0,19003,221,60,0
14,2,0,4,8,6,0,0,0,14291,6.8,16706,178,44,14,1,10,1,0,0,17669,7.2,18788,233,45,0
13,2,1,16,4,17,1,0,1,19651,7.0,18318,200,36,11,1,3,0,0,0,14456,6.4,16029,179,52,1
14,1,1,4,6,5,0,0,0,15522,7.0,18255,220,52,9,2,6,1,0,0,17233,7.4,19661,239,68,0
16,4,0,4,6,2,1,0,0,14993,6.8,16922,223,44,19,6,6,0,0,0,16442,6.8,17461,255,40,1
35,1,0,5,6,6,0,0,0,16230,7.4,19157,228,44,16,4,3,1,1,0,17069,7.4,19990,239,88,0
17,4,1,11,4,8,0,1,0,17781,7.2,19581,225,45,79,3,3,0,0,0,15422,6.8,17753,215,60,0
11,2,0,1,9,1,0,0,0,14672,6.6,16566,234,58,56,1,10,0,0,0,17670,7.2,19897,251,50,0
13,0,1,2,4,2,0,0,0,14524,6.8,17686,214,50,14,3,2,0,0,0,15857,7.0,19518,260,49,0
16,2,0,6,5,6,0,0,0,15691,7.0,17592,212,48,13,1,3,1,1,0,15235,6.8,17661,192,52,0
21,4,1,5,2,5,1,0,0,16724,7.0,18895,229,64,17,0,3,0,0,0,14292,6.6,17020,221,44,0
16,0,0,7,5,6,0,0,0,17432,7.4,19324,224,56,57,2,11,0,0,0,16439,7.4,18731,209,52,1
17,4,0,6,11,4,1,0,0,16036,6.6,16916,191,39,19,6,14,0,0,0,18344,7.2,18683,206,28,0
18,5,1,6,3,4,0,0,0,16876,7.0,18664,256,44,17,4,4,0,0,0,14159,6.4,15849,205,43,1
17,2,0,6,10,7,1,0,0,15336,6.6,16676,187,56,15,1,9,0,1,0,18071,7.0,18812,226,46,0
15,5,1,13,3,13,0,0,0,20183,7.6,20925,239,48,14,3,3,0,0,0,14471,6.6,16344,208,36,1
19,3,1,4,4,3,0,0,0,16621,6.8,18305,255,50,15,4,7,0,0,0,15746,7.0,18696,238,65,1
14,1,0,6,5,8,1,0,1,17471,6.8,17895,217,56,16,2,4,0,0,0,16452,6.8,17858,206,55,0
11,3,0,4,9,4,0,0,0,15233,7.0,17625,220,44,18,2,6,1,0,0,16354,7.0,18483,210,40,1
16,3,0,7,5,9,1,0,0,16460,7.0,18782,222,52,52,1,8,0,0,0,16268,7.2,18166,236,46,1
18,3,0,3,6,3,0,0,0,14649,6.6,15693,200,48,13,3,7,1,0,0,16594,7.0,18189,216,61,0
17,5,0,6,5,9,0,1,0,17544,7.0,18604,230,73,22,4,9,0,0,0,16452,6.8,17203,258,30,1
15,4,1,4,1,4,0,0,0,16385,7.0,18374,249,44,60,1,0,1,0,0,13384,6.8,17151,213,42,0
40,3,1,4,6,5,0,1,0,16368,7.0,18857,216,56,13,4,5,1,0,0,16548,7.4,19747,224,56,1
12,2,1,10,8,10,1,0,0,18787,7.0,18529,231,48,56,3,10,0,0,0,16911,6.8,16861,203,28,1
13,3,0,2,9,2,0,0,0,14663,6.4,15958,228,44,17,2,13,1,0,0,17811,7.2,18814,215,64,0
